,Unnamed: 0.1,Unnamed: 0,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,ra_error,dec_error,pmra_error,pmdec_error,parallax_error,visibility_periods_used,phot_bp_mean_mag,phot_rp_mean_mag,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,zp,fidelity_v2,parallax_,relative_error,cell_id,distance,cluster_id
69543,73439,73439,1568889052865505920,187.4061560032825,51.88305118785628,10.89608420746486,-23.438210041709542,-1.886204066216553,1.0861462,20.137304,2.8763847,,0.3045387,0.3328833,0.36894572,0.42306823,0.4944225,31,21.485415,18.60903,,1.127915,48.89285530001905,95,-0.035942,1.0,0.0108960842074648,0.045376163636958,39,91.776089552879,39_001
69644,73541,73541,1676550242160136448,192.8681069958535,62.71956847777751,10.808126722883918,-28.83600749850013,-16.361172937649904,1.1918991,19.565071,3.1751175,,0.28576535,0.27390745,0.35234886,0.38094035,0.32265186,27,21.291307,18.11619,,1.1167673,58.8746065556723,95,-0.03509,1.0,0.0108081267228839,0.0298527088248191,39,92.52297143062854,39_001
69711,73609,73609,1576677516496234496,192.2101915409717,56.51592849862149,10.539164775887674,-15.989221319201617,17.85743754416712,3.2836306,16.780565,3.2841597,,0.110300444,0.11410318,0.14050399,0.14489563,0.14793216,29,18.662285,15.378125,1.2173645,,54.255564166171325,31,-0.052167,1.0,0.0105391647758876,0.0140364215899205,39,94.88417927461246,39_001
69844,73743,73743,1566766484322815232,199.2931869034529,58.01911470518523,10.70794120980184,-18.152637777836148,-6.130067656144383,1.0618576,16.136408,2.9155931,,0.03211646,0.02871592,0.040822715,0.035778217,0.03710143,27,17.813604,14.898011,1.2460873,,57.97743922452295,31,-0.046427,1.0,0.0107079412098018,0.0034648518583607,39,93.38863376319468,39_001
69852,73751,73751,1570673117856950784,190.68919385214352,53.494795904364494,11.09919983023466,-19.898401328129427,-8.420473123119953,1.0713494,13.0743685,1.9627037,-6.3907557,0.016187012,0.017839635,0.018318657,0.022079313,0.024048682,29,14.052344,12.089641,,1.3306344,51.38584538410679,95,-0.030472,1.0,0.0110991998302346,0.0021667041199213,39,90.09658491560498,39_001
69923,73822,73822,1608871010798510208,215.04273759047305,55.35295048029582,10.752590561782526,-17.335571117009906,-2.6319029967224803,1.1044087,14.942689,2.6095486,-4.3971653,0.017871497,0.01951882,0.021234063,0.02511902,0.02186792,27,16.380175,13.770626,1.2751007,,62.2065004585018,31,-0.040242,1.0,0.0107525905617825,0.0020337350217466,39,93.00084423880695,39_001
69994,73894,73894,1659280835792910464,208.56684694583737,59.291268020940976,10.721439900758147,-17.822288233952953,-3.3838297196066778,1.1898719,14.322535,2.4445562,-51.12112,0.013360909,0.013107851,0.017149752,0.016523235,0.015364033,30,15.633697,13.18914,1.2902616,,62.37029858175392,31,-0.037981,1.0,0.0107214399007581,0.0014330195516848,39,93.27105400546911,39_001
70002,73902,73902,1573128842717331584,182.7275932344077,54.39047683434324,10.600536550578669,-30.11427765582453,-11.426060713067828,1.1034986,16.832935,3.1535988,,0.037188265,0.037161805,0.045628667,0.0482184,0.052070957,32,18.69288,15.539282,1.2266008,,49.19503147797374,31,-0.051158,1.0,0.0106005365505786,0.0049121057930937,39,94.33484760216385,39_001
70022,73922,73922,1603366683790192000,218.14856727096327,48.93745831533943,10.3559473713824,0.9196152924875678,-19.347161668643267,1.0529777,10.884826,1.0979137,-9.579965,0.0091406815,0.009913724,0.010994774,0.011482521,0.0120483525,28,11.353187,10.255273,1.4937767,,58.55885011553941,31,-0.023457,1.0,0.0103559473713824,0.0011634234964629,39,96.56287002417544,39_001
70023,73923,73923,1603660249099855488,217.1247130914044,49.7703030831696,10.710644948981736,-16.836383324318682,-2.824557699684813,0.98480374,18.245934,3.6085072,,0.08773439,0.092157446,0.1115035,0.12034931,0.109433375,29,20.447268,16.83876,1.1915548,,58.81702382069738,31,-0.037918,1.0,0.0107106449489817,0.0102172535380704,39,93.36505922503514,39_001
70039,73939,73939,1606329558390313344,223.2678462558804,54.30098741310472,11.442758755667464,1.887976215951186,-3.4675793592516264,1.0070413,15.9858675,2.875719,,0.027272169,0.028915051,0.033970676,0.04160607,0.03177894,29,17.629223,14.753504,1.2513139,,64.71231850016562,31,-0.044071,1.0,0.0114427587556674,0.0027772096466038,39,87.39151295177987,39_001
70186,74087,74087,1560767995559564032,207.49283954263672,53.24640212801273,10.75391888787238,-18.178689159888577,-4.667550253583223,1.1716144,14.043365,2.3320675,-8.410428,0.010219911,0.012039706,0.012701845,0.014672373,0.014058634,30,15.274699,12.942632,1.303831,,57.669852621911126,31,-0.037384,1.0,0.0107539188878723,0.0013073033325418,39,92.98935675698159,39_001
70217,74118,74118,1583343030861394816,187.0291689218177,61.88327628521007,11.493238789448307,-18.5952750343572,-11.964753344274156,1.0298017,16.679075,3.0656004,,0.04665658,0.0472083,0.060960934,0.06324071,0.056802195,28,18.4709,15.405299,,1.2037774,56.320220008416165,95,-0.06352,1.0,0.0114932387894483,0.0049422269945482,39,87.00767627990805,39_001
70315,74217,74217,1657863359146774016,209.0623956253989,56.99233345249984,10.51672855175593,-17.98082230116615,-3.078697214234056,1.0132884,16.43801,3.0226965,,0.037382413,0.03421831,0.048691697,0.044549312,0.041699074,26,18.20039,15.177693,1.2396225,,61.00451775591872,31,-0.048044,1.0,0.0105167285517559,0.0039650233240105,39,95.08660369797579,39_001
70356,74258,74258,1666587674674960256,217.0626822808813,62.22638680796931,10.257771350546095,29.819623549170025,-1.9139955790121284,0.9897371,13.367286,1.9089575,-5.776356,0.010165943,0.008854726,0.012853219,0.011335097,0.01031473,26,14.304454,12.395496,1.3565297,,67.44265381848884,31,-0.030346,1.0,0.010257771350546,0.0010055527314372,39,97.48706281572284,39_001
70392,74294,74294,1610567179282130816,217.0465824492548,56.78005239766091,11.411938196561078,2.5309631442017686,1.106258149556714,3.067235,12.198896,1.5597801,1.8165984,0.034513373,0.037379317,0.043888405,0.048655532,0.042854402,26,12.320414,10.760633,,1.3967731,64.00505877485772,95,-0.004625,1.0,0.011411938196561,0.0037552255595735,39,87.6275337962618,39_001
70420,74322,74322,1610567179283203840,217.0468902453464,56.7802834991277,11.898909635383983,0.9945036693390944,-2.767551277839849,2.7059722,12.124607,1.5957165,0.5454162,0.03475446,0.037744433,0.04525095,0.049757607,0.04304841,27,12.279128,10.683412,,1.3937483,64.0053402472304,95,-0.009458,1.0,0.0118989096353839,0.0036178449386644,39,84.04131392226819,39_001
70439,74342,74342,1663196261123415296,200.58178525029945,60.57858659228013,10.912152130500964,18.460549296704688,-12.164899903072335,0.7911063,10.120987,0.92614937,-21.718513,0.009288432,0.007627759,0.010949188,0.010063106,0.0094342865,26,10.498109,9.5719595,1.5317063,,60.20933138959963,31,-0.018743,1.0,0.0109121521305009,0.000864566987994,39,91.6409511195201,39_001
70461,74364,74364,1554963123922631296,194.4162272320651,47.46345535458376,10.666400667611107,-22.768511284108385,17.559207090060525,1.1818101,11.272856,1.2337713,-21.614279,0.010119719,0.011246666,0.011454009,0.014053627,0.01657199,30,11.816316,10.582544,,1.4659063,47.98718334916399,95,-0.031115,1.0,0.0106664006676111,0.0015536628068286,39,93.7523379406265,39_001
70563,74467,74467,1570922397758841984,189.10347610483265,53.89442420191926,10.495760121724125,-24.09003678579104,-11.574386668445436,0.9904365,18.351522,3.6071281,,0.087846726,0.09555926,0.10514671,0.12267222,0.12793985,29,20.55698,16.949852,,1.1049939,51.10975314919365,95,-0.047935,1.0,0.0104957601217241,0.0121896697824857,39,95.2765677190166,39_001
70578,74483,74483,1617545126749721472,224.68792679095915,60.44152510954932,10.190832158162124,23.57600914967623,-0.92623682255054,7.3998375,13.721444,2.2631855,-13.383335,0.08485211,0.07663166,0.12262221,0.09825394,0.08212978,25,14.904052,12.640866,1.3119941,,69.40181352970878,31,-0.033819,1.0,0.0101908321581621,0.0080591828739147,39,98.12741339273988,39_001
70584,74489,74489,1554928935982369920,195.1388387100224,47.48479028316849,11.408419289197315,-20.95675127371685,-2.5061922780328008,6.2074604,18.473152,2.69063,,0.51657236,0.6182679,0.57885724,0.7634536,0.8640521,31,19.63393,16.9433,1.2592249,,48.28611563628726,31,-0.026472,0.022628784,0.0114084192891973,0.0757381086806806,39,87.65456235877534,39_001
70645,74550,74550,1560422504094135552,203.2389323290808,53.680400869798056,10.633136461697015,-18.432262102060086,-5.94780520667353,1.0603714,17.677258,3.4064503,,0.071753256,0.06699719,0.08881369,0.08184203,0.08511252,30,19.734924,16.328474,1.2037039,,56.32523415461921,31,-0.051613,1.0,0.010633136461697,0.0080044604248797,39,94.0456283620764,39_001
70771,74676,74676,1561660249245388672,205.4021154445236,53.337506753678326,10.504028683629617,-18.27646955475405,-4.830259265751248,0.9509496,9.585494,0.80132866,-4.775722,0.009526599,0.009694174,0.010950786,0.012903847,0.012202885,30,9.902745,9.101417,1.5599109,,56.914734508981205,31,-0.019842,1.0,0.0105040286836296,0.0011617337849636,39,95.20156790493992,39_001
70774,74679,74679,1617712351300477440,220.9643254053925,60.23532208251586,10.347082783329126,-16.55003313217386,-2.507463814324188,7.6026125,12.119495,1.4885111,-15.881951,0.07117275,0.072766535,0.08861027,0.094999224,0.07801343,27,12.799526,11.311015,1.4222034,,67.8045724709567,31,-0.009756,1.0,0.0103470827833291,0.0075396545706286,39,96.645597695533,39_001
70826,74731,74731,1564704384625095808,198.17871876821167,56.21003193989909,10.870460027662276,0.9363573202213642,-20.195206160401035,2.678278,15.15522,2.8844986,-14.475224,0.04755587,0.05554265,0.059276853,0.07538886,0.065429665,27,16.801023,13.916525,1.24941,,56.25526305899062,31,-0.04644,1.0,0.0108704600276622,0.0060190336778296,39,91.99242694929994,39_001
70861,74766,74766,1668110665782756352,213.71766906637177,64.14834476075812,11.092215954711556,-18.009129880231832,-3.225824378027516,0.9594067,18.62712,3.9358234,,0.13064086,0.14602731,0.16758338,0.1884749,0.14988905,25,21.121538,17.185715,,1.051368,67.21241222878402,95,-0.042234,1.0,0.0110922159547115,0.0135129942125164,39,90.153311482837,39_001
70907,74812,74812,1677385669133235968,191.2325800836893,64.77137918301104,11.388027940959793,-18.804620451820035,-7.630570502210311,1.2153004,16.47278,3.0858202,,0.06300954,0.073182665,0.07823106,0.106069356,0.07795242,24,17.655603,14.569783,,1.2337562,59.654370959713575,95,-0.061719,1.0,0.0113880279409597,0.0068451201914973,39,87.81151619792455,39_001
70946,74851,74851,1562684753563525120,204.4832491566869,56.45646434751766,10.61962997282342,-23.68073839899555,9.697122466264206,0.9523791,8.44047,0.6208935,1.3736537,0.012419925,0.013421584,0.015378385,0.016535902,0.015542705,29,8.671385,8.050491,1.6035652,,58.84616979117615,31,-0.020904,1.0,0.0106196299728234,0.0014635825391068,39,94.16523951955868,39_001
70948,74853,74853,1563589892151844992,201.15094938831788,54.92717997511625,10.90460714240388,-19.19424423208003,-6.170496502179095,1.084968,12.994538,1.9079914,-4.552228,0.011108002,0.010133323,0.014020876,0.01252881,0.012928749,29,13.938903,12.030911,1.3567394,,56.44564597520992,31,-0.02164,1.0,0.0109046071424038,0.0011856226300647,39,91.70435825343829,39_001
70951,74856,74856,1564028700370220672,198.36556644702472,54.00068118931695,10.5578093144162,-8.43236194989605,-6.324197898683845,1.847803,17.301752,3.244402,,0.09366001,0.09913219,0.118227154,0.1417175,0.12501703,28,19.245377,16.000975,1.2209598,,54.67958641488828,31,-0.052595,1.0,0.0105578093144162,0.0118411903716896,39,94.71661878137412,39_001
70972,74878,74878,1603398775787150208,218.76824610401167,49.30439978812081,12.473774490459832,-16.357110777320703,-13.427898968273034,1.0850087,11.535058,1.4947329,-2.089687,0.009711479,0.010575342,0.012601718,0.014037915,0.012513057,27,12.228055,10.733322,1.4202728,,59.09596556666296,31,-0.029622,1.0,0.0124737744904598,0.0010031492079298,39,80.16819614342239,39_001
